"sample"	"n_loci"	"population"	"group"
"194"	"HS04_032"	23875	"HecStrait04"	"Alaska"
"618"	"WC05_017"	23881	"WashCoast05"	"Alaska"
"388"	"KOD03_081"	23886	"Kodiak03"	"Alaska"
"330"	"JUK07_10_92bp"	23893	"Jukbyeon07"	"Korea"
"374"	"KOD03_067"	23893	"Kodiak03"	"Alaska"
"288"	"JB121807_21.1_92bp"	23908	"JinhaeBay07"	"Korea"
"168"	"HS04_006"	23914	"HecStrait04"	"Alaska"
"597"	"UP03_044"	23924	"UnimakPass03"	"Alaska"
"609"	"WC05_008"	23943	"WashCoast05"	"Alaska"
"1"	"AD06_001"	23948	"Adak06"	"Alaska"
"17"	"AD06_017"	23970	"Adak06"	"Alaska"
"343"	"JUK07_22_92bp"	23974	"Jukbyeon07"	"Korea"
"474"	"PS12_017"	23974	"SalishSea12_13"	"Alaska"
"11"	"AD06_011"	23993	"Adak06"	"Alaska"
"179"	"HS04_017"	24003	"HecStrait04"	"Alaska"
"111"	"GEO020414_10_92bp"	24025	"Geoje14"	"Korea"
"666"	"YS_121316_19_92bp"	24038	"YellowSea16"	"Korea"
"465"	"PS12_008"	24039	"SalishSea12_13"	"Alaska"
"554"	"UP03_001"	24040	"UnimakPass03"	"Alaska"
"373"	"KOD03_066"	24052	"Kodiak03"	"Alaska"
"616"	"WC05_015"	24054	"WashCoast05"	"Alaska"
"678"	"YS_121316_29_92bp"	24060	"YellowSea16"	"Korea"
"507"	"PWS12_002"	24065	"PWSound12"	"Alaska"
"316"	"JB121807_46_92bp"	24071	"JinhaeBay07"	"Korea"
"541"	"PWS12_075"	24085	"PWSound12"	"Alaska"
"170"	"HS04_008"	24096	"HecStrait04"	"Alaska"
"364"	"KOD03_057"	24096	"Kodiak03"	"Alaska"
"522"	"PWS12_017"	24103	"PWSound12"	"Alaska"
"472"	"PS12_015"	24123	"SalishSea12_13"	"Alaska"
"177"	"HS04_015"	24132	"HecStrait04"	"Alaska"
"371"	"KOD03_064"	24137	"Kodiak03"	"Alaska"
"564"	"UP03_011"	24155	"UnimakPass03"	"Alaska"
"249"	"JB021108_34_92bp"	24236	"JinhaeBay08"	"Korea"
"231"	"JB021108_20_92bp"	24331	"JinhaeBay08"	"Korea"
"303"	"JB121807_33.1_92bp"	24336	"JinhaeBay07"	"Korea"
"309"	"JB121807_38.1_92bp"	24371	"JinhaeBay07"	"Korea"
"341"	"JUK07_20_92bp"	24393	"Jukbyeon07"	"Korea"
"305"	"JB121807_35_2_92bp"	24421	"JinhaeBay07"	"Korea"
"320"	"JUK07_01_92bp"	24429	"Jukbyeon07"	"Korea"
"282"	"JB121807_14.1_92bp"	24432	"JinhaeBay07"	"Korea"
"290"	"JB121807_23_2_92bp"	24436	"JinhaeBay07"	"Korea"
"134"	"GEO020414_29_92bp"	24437	"Geoje14"	"Korea"
"302"	"JB121807_32.1_92bp"	24478	"JinhaeBay07"	"Korea"
"119"	"GEO020414_15_300_92bp"	24479	"Geoje14"	"Korea"
"677"	"YS_121316_28_92bp"	24491	"YellowSea16"	"Korea"
"245"	"JB021108_31_2_92bp"	24502	"JinhaeBay08"	"Korea"
"140"	"GEO020414_6_92bp"	24511	"Geoje14"	"Korea"
"90"	"GE011215_29.1_92bp"	24522	"Geoje15"	"Korea"
"409"	"NA021015_08.1_92bp"	24528	"Namhae15"	"Korea"
"250"	"JB021108_35_92bp"	24539	"JinhaeBay08"	"Korea"
"334"	"JUK07_14_92bp"	24543	"Jukbyeon07"	"Korea"
"226"	"JB021108_14_2_92bp"	24558	"JinhaeBay08"	"Korea"
"323"	"JUK07_03_92bp"	24591	"Jukbyeon07"	"Korea"
"238"	"JB021108_26.1_92bp"	24604	"JinhaeBay08"	"Korea"
"258"	"JB021108_40_2_92bp"	24604	"JinhaeBay08"	"Korea"
"52"	"BOR07_03_92bp"	24608	"Boryeong07"	"Korea"
"234"	"JB021108_23_92bp"	24609	"JinhaeBay08"	"Korea"
"339"	"JUK07_18_92bp"	24621	"Jukbyeon07"	"Korea"
"212"	"JB021108_02.1_92bp"	24634	"JinhaeBay08"	"Korea"
