sample	n_loci	population	group
PS12_041	23409	JuandeFuca12	Alaska
PS12_042	19906	JuandeFuca12	Alaska
PS12_043	17740	JuandeFuca12	Alaska
PS12_044	22767	JuandeFuca12	Alaska
PS12_045	22256	JuandeFuca12	Alaska
PS12_046	23308	JuandeFuca12	Alaska
PS12_047	23400	JuandeFuca12	Alaska
PS12_048	23140	JuandeFuca12	Alaska
PWS12_001	23760	PWSound12	Alaska
PWS12_002	24065	PWSound12	Alaska
PWS12_003	23103	PWSound12	Alaska
PWS12_004	23357	PWSound12	Alaska
PWS12_005	23731	PWSound12	Alaska
PWS12_006	23620	PWSound12	Alaska
PWS12_007	22277	PWSound12	Alaska
PWS12_008	23541	PWSound12	Alaska
PWS12_009	23355	PWSound12	Alaska
PWS12_010	23847	PWSound12	Alaska
PWS12_011	23429	PWSound12	Alaska
PWS12_012	22097	PWSound12	Alaska
PWS12_013	23378	PWSound12	Alaska
PWS12_014	23870	PWSound12	Alaska
PWS12_015	23184	PWSound12	Alaska
PWS12_016	23495	PWSound12	Alaska
PWS12_017	24103	PWSound12	Alaska
PWS12_018	23206	PWSound12	Alaska
PWS12_019	23103	PWSound12	Alaska
PWS12_020	23473	PWSound12	Alaska
PWS12_021	23326	PWSound12	Alaska
PWS12_022	23385	PWSound12	Alaska
PWS12_023	22780	PWSound12	Alaska
PWS12_025	23320	PWSound12	Alaska
PWS12_031	23433	PWSound12	Alaska
PWS12_033	23238	PWSound12	Alaska
PWS12_041	23389	PWSound12	Alaska
PWS12_054	23711	PWSound12	Alaska
PWS12_055	21541	PWSound12	Alaska
PWS12_056	19759	PWSound12	Alaska
PWS12_057	23207	PWSound12	Alaska
PWS12_063	22706	PWSound12	Alaska
PWS12_064	22141	PWSound12	Alaska
PWS12_066	23536	PWSound12	Alaska
PWS12_069	23220	PWSound12	Alaska
PWS12_075	24085	PWSound12	Alaska
PWS12_076	21792	PWSound12	Alaska
PWS12_077	22896	PWSound12	Alaska
PWS12_078	17157	PWSound12	Alaska
PWS12_079	23678	PWSound12	Alaska
PWS12_094	23388	PWSound12	Alaska
PWS12_095	23342	PWSound12	Alaska
PWS12_096	23295	PWSound12	Alaska
PWS12_097	22844	PWSound12	Alaska
PWS12_131	23336	PWSound12	Alaska
PWS12_132	22441	PWSound12	Alaska
PWS12_133	21644	PWSound12	Alaska
PWS12_134	23046	PWSound12	Alaska
UP03_001	24040	UnimakPass03	Alaska
UP03_002	22216	UnimakPass03	Alaska
UP03_003	23464	UnimakPass03	Alaska
UP03_004	23470	UnimakPass03	Alaska
UP03_005	23090	UnimakPass03	Alaska
UP03_006	23527	UnimakPass03	Alaska
UP03_007	22635	UnimakPass03	Alaska
UP03_008	23705	UnimakPass03	Alaska
UP03_009	23256	UnimakPass03	Alaska
UP03_010	23550	UnimakPass03	Alaska
UP03_011	24155	UnimakPass03	Alaska
UP03_012	22821	UnimakPass03	Alaska
UP03_013	23504	UnimakPass03	Alaska
UP03_014	23393	UnimakPass03	Alaska
UP03_015	21952	UnimakPass03	Alaska
UP03_016	20608	UnimakPass03	Alaska
UP03_017	23391	UnimakPass03	Alaska
UP03_018	23742	UnimakPass03	Alaska
UP03_019	23459	UnimakPass03	Alaska
UP03_020	22458	UnimakPass03	Alaska
