sample	n_loci	population	group
GEO012315_12_92bp	24893	Geoje15	Korea
JB021108_25_2_92bp	22009	JinhaeBay08	Korea
YS_121316_13_92bp	24774	YellowSea16	Korea
GEO020414_11_92bp	24691	Geoje14	Korea
BOR07_15_92bp	24709	Boryeong07	Korea
GEO020414_30_92bp	20340	Geoje14	Korea
BOR07_20.1_92bp	24707	Boryeong07	Korea
UP03_023	21846	UnimakPass03	Alaska
GEO020414_9_92bp	24251	Geoje14	Korea
JUK07_32_92bp	24613	Jukbyeon07	Korea
AD06_025	22779	Adak06	Alaska
UP03_027	20227	UnimakPass03	Alaska
NA021015_10_2_92bp	24809	Namhae15	Korea
WC05_024	17364	WashCoast05	Alaska
WC05_025	22890	WashCoast05	Alaska
WC05_026	18606	WashCoast05	Alaska
WC05_027	18632	WashCoast05	Alaska
JUK07_37.1_92bp	24501	Jukbyeon07	Korea
WC05_021	20457	WashCoast05	Alaska
JB021108_32_92bp	24803	JinhaeBay08	Korea
WC05_023	21534	WashCoast05	Alaska
GEO020414_10_2_92bp	24378	Geoje14	Korea
UP03_024	15225	UnimakPass03	Alaska
WC05_028	15791	WashCoast05	Alaska
WC05_029	23155	WashCoast05	Alaska
