per locus comparison. all values as proportions
locus_ID	n_pairs	both_miss	b1_miss	b2_miss	both_genotyped	matched	diff_homhom	diff_homhet	diff_hethom
1090	50	0.0	0.02	0.0	0.98	0.0	0.0	1.0	0.0
10900	50	0.0	0.12	0.0	0.88	0.0	0.0	1.0	0.0
10904	50	0.0	0.18	0.0	0.82	0.0	0.0	1.0	0.0
10906	50	0.0	0.02	0.0	0.98	0.0	0.0	0.632653061224	0.367346938776
10908	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10909	50	0.0	0.04	0.0	0.96	0.0	0.0	0.5	0.5
10910	50	0.0	0.18	0.0	0.82	0.0	0.0	1.0	0.0
10914	50	0.0	0.0	0.0	1.0	0.0	0.0	0.66	0.34
10918	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10921	50	0.0	0.02	0.0	0.98	0.0	0.0	0.755102040816	0.244897959184
10923	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10925	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10927	50	0.0	0.0	0.0	1.0	0.0	0.0	0.98	0.02
1093	50	0.0	0.14	0.0	0.86	0.0	0.0	1.0	0.0
10931	50	0.0	0.0	0.0	1.0	0.0	0.0	0.84	0.16
10932	50	0.0	0.04	0.0	0.96	0.0	0.0	0.979166666667	0.0208333333333
10936	50	0.0	0.08	0.0	0.92	0.0	0.0	0.608695652174	0.391304347826
10937	50	0.0	0.02	0.0	0.98	0.0	0.0	0.469387755102	0.530612244898
10938	50	0.0	0.16	0.0	0.84	0.0	0.0	1.0	0.0
1094	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10941	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10943	50	0.0	0.0	0.0	1.0	0.0	0.0	0.98	0.02
10945	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10948	50	0.0	0.08	0.0	0.92	0.0	0.0	0.95652173913	0.0434782608696
10949	50	0.0	0.02	0.0	0.98	0.0	0.0	0.571428571429	0.428571428571
10950	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10953	50	0.0	0.0	0.0	1.0	0.0	0.0	0.76	0.24
10966	50	0.0	0.1	0.0	0.9	0.0	0.0	1.0	0.0
10970	50	0.0	0.0	0.0	1.0	0.0	0.0	0.54	0.46
10971	50	0.0	0.1	0.0	0.9	0.0	0.0	1.0	0.0
10975	50	0.0	0.04	0.0	0.96	0.0	0.0	0.833333333333	0.166666666667
1098	50	0.0	0.08	0.0	0.92	0.0	0.0	1.0	0.0
10980	50	0.0	0.0	0.0	1.0	0.0	0.0	0.92	0.08
10983	50	0.0	0.02	0.0	0.98	0.0	0.0	1.0	0.0
10995	50	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
10997	50	0.0	0.0	0.0	1.0	0.0	0.0	0.48	0.52
110	50	0.0	0.0	0.0	1.0	0.0	0.0	0.58	0.42
11006	50	0.0	0.98	0.0	0.02	0.0	0.0	1.0	0.0
11007	50	0.0	0.0	0.0	1.0	0.0	0.0	0.6	0.4
11011	50	0.0	0.12	0.0	0.88	0.0	0.0	1.0	0.0
11012	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
11015	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
11022	50	0.0	0.02	0.0	0.98	0.0	0.0	1.0	0.0
11023	50	0.0	0.16	0.0	0.84	0.0	0.0	0.642857142857	0.357142857143
11024	50	0.0	0.1	0.0	0.9	0.0	0.0	0.755555555556	0.244444444444
11025	50	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
11029	50	0.0	0.1	0.0	0.9	0.0	0.0	0.955555555556	0.0444444444444
11034	50	0.0	0.14	0.0	0.86	0.0	0.0	1.0	0.0
11035	50	0.0	0.12	0.0	0.88	0.0	0.0	0.954545454545	0.0454545454545
11036	50	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
11039	50	0.0	0.0	0.0	1.0	0.0	0.0	0.86	0.14
1104	50	0.0	0.06	0.0	0.94	0.0	0.0	0.787234042553	0.212765957447
11040	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
